subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,VIZ,EEG-ch24,low_beta,13.0,20.0,0.012168906141258857,0.013563206145864403,0.022594034234309314,16.5,78755
2,VIZ,EEG-ch25,low_beta,13.0,20.0,0.02026888792778865,0.003686833394873768,0.02917141679756485,16.5,78755
2,VIZ,EEG-ch26,low_beta,13.0,20.0,0.01122581018324798,0.010282206877050032,-0.02431561750482399,16.5,78755
2,VIZ,EEG-ch27,low_beta,13.0,20.0,0.011695327313925533,0.014202018780569085,-0.021790145140190134,16.5,78755
2,VIZ,EEG-ch29,low_beta,13.0,20.0,0.01839378663795813,0.02215833985960331,0.021907327385694137,16.5,78755
2,VIZ,EEG-ch30,low_beta,13.0,20.0,0.02134931150837753,0.006146484612541566,0.028508712519455446,16.5,78755
2,VIZ,EEG-ch31,low_beta,13.0,20.0,0.01226495043848136,0.0068233651313809075,-0.026764945562566842,16.5,78755
2,VIZ,EEG-ch32,low_beta,13.0,20.0,0.015303957719535062,0.008312579517413179,0.026862984759589977,16.5,78755
2,VIZ,EEG-ch1,high_beta,20.0,30.0,0.012689215276335744,0.013970007980821104,-0.015079576084754725,25.0,78755
2,VIZ,EEG-ch2,high_beta,20.0,30.0,0.01204134539393116,0.006504414672172557,0.01777003814445404,25.0,78755
2,VIZ,EEG-ch3,high_beta,20.0,30.0,0.010592818537249986,0.01580979151289372,-0.012138209049770162,25.0,78755
2,VIZ,EEG-ch4,high_beta,20.0,30.0,0.008763149588580084,0.0027600329545322956,-0.018717168803250726,25.0,78755
2,VIZ,EEG-ch5,high_beta,20.0,30.0,0.01842334270053409,0.00033369562988240856,-7.284492332821621e-05,25.0,78755
2,VIZ,EEG-ch6,high_beta,20.0,30.0,0.019083689140086426,0.026243856927040447,-0.013198745017520245,25.0,78755
2,VIZ,EEG-ch7,high_beta,20.0,30.0,0.014390084488911195,0.0189772237677985,-0.013646600614164391,25.0,78755
2,VIZ,EEG-ch8,high_beta,20.0,30.0,0.0055034543524795755,0.008110384904392746,-0.012331870793266905,25.0,78755
2,VIZ,EEG-ch9,high_beta,20.0,30.0,0.01275115348375529,0.019278071838998496,-0.008006141936085093,25.0,78755
2,VIZ,EEG-ch10,high_beta,20.0,30.0,0.009702680026797326,0.0015421055838024814,-0.0006419836959074764,25.0,78755
2,VIZ,EEG-ch11,high_beta,20.0,30.0,0.011278716575726204,0.015523781576437867,-0.01316873467874193,25.0,78755
2,VIZ,EEG-ch12,high_beta,20.0,30.0,0.011335768931753542,0.016792802777973737,-0.0077670365456309325,25.0,78755
2,VIZ,EEG-ch14,high_beta,20.0,30.0,0.0038344323683875965,0.0015556423387386078,-0.001670123356029743,25.0,78755
2,VIZ,EEG-ch15,high_beta,20.0,30.0,0.009697004171081856,0.014976932948978582,-0.008856881324684113,25.0,78755
2,VIZ,EEG-ch16,high_beta,20.0,30.0,0.017465488060873287,0.027298788494352664,-0.010223772105509043,25.0,78755
2,VIZ,EEG-ch17,high_beta,20.0,30.0,0.002508342347809804,0.0027607443671754015,-0.004934409771818004,25.0,78755
2,VIZ,EEG-ch20,high_beta,20.0,30.0,0.00928878047909186,0.014160176738752936,-0.008583362794294698,25.0,78755
2,VIZ,EEG-ch21,high_beta,20.0,30.0,0.023376552791011737,0.03643995993662261,-0.00930469273727348,25.0,78755
2,VIZ,EEG-ch22,high_beta,20.0,30.0,0.015057181992200252,0.022441861771570485,-0.007909328292546383,25.0,78755
2,VIZ,EEG-ch24,high_beta,20.0,30.0,0.014175979039583867,0.020907786850061776,-0.007823025085430771,25.0,78755
2,VIZ,EEG-ch25,high_beta,20.0,30.0,0.011117173610952664,0.01701472254945539,-0.008694832856930419,25.0,78755
2,VIZ,EEG-ch26,high_beta,20.0,30.0,0.014099310668712565,0.020481952246595426,-0.007451171440952777,25.0,78755
2,VIZ,EEG-ch27,high_beta,20.0,30.0,0.01815221055395298,0.027618193278513514,-0.008436363195933659,25.0,78755
2,VIZ,EEG-ch29,high_beta,20.0,30.0,0.009486400355818547,0.008244325521312018,-0.003750774099009057,25.0,78755
2,VIZ,EEG-ch30,high_beta,20.0,30.0,0.009248401794713633,0.009856265656626955,-0.004751142057596488,25.0,78755
