channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch26,gamma1,mixed-lm,0.0019138520192819731,0.18314896780563006,10,5,mixed,0.010472657353768155
EEG-ch27,gamma1,mixed-lm,0.0017399139938549257,0.14784259791325452,10,5,mixed,0.010472657353768155
EEG-ch28,gamma1,mixed-lm,0.0005353951708344964,0.7286669728069526,8,4,mixed,0.010472657353768155
EEG-ch29,gamma1,mixed-lm,0.00166342668414618,0.17248052385976087,10,5,mixed,0.010472657353768155
EEG-ch3,gamma1,mixed-lm,0.0010783398297559564,0.196881279103573,10,5,mixed,0.010472657353768155
EEG-ch30,gamma1,mixed-lm,0.0029969507392262505,0.025166142472151168,10,5,mixed,0.010472657353768155
EEG-ch31,gamma1,mixed-lm,0.002049505397819574,0.19760713213227787,10,5,mixed,0.010472657353768155
EEG-ch32,gamma1,mixed-lm,0.0019492325616270918,0.1784899392932895,10,5,mixed,0.010472657353768155
EEG-ch4,gamma1,mixed-lm,0.0037985254127613035,0.0009818116269157645,10,5,mixed,0.010472657353768155
EEG-ch5,gamma1,mixed-lm,0.0015908825436913114,0.050015210265451325,10,5,mixed,0.12311436373034172
EEG-ch6,gamma1,mixed-lm,0.0018575845367482455,0.05905862445087476,10,5,mixed,0.12665851512002585
EEG-ch7,gamma1,mixed-lm,0.003099296092129276,0.039580785975008075,10,5,mixed,0.12665851512002585
EEG-ch8,gamma1,mixed-lm,0.002659269923276526,0.06393591128212013,10,5,mixed,0.1363966107351896
EEG-ch9,gamma1,mixed-lm,0.001848874990185817,0.33944916233583,10,5,mixed,0.37456459292229516
EEG-ch1,high_beta,mixed-lm,-0.0005916493192414075,0.38027829911917543,10,5,mixed,0.8863982313766491
EEG-ch10,high_beta,mixed-lm,-0.00019813697340729204,0.8309983419156085,10,5,mixed,0.8863982313766491
EEG-ch11,high_beta,mixed-lm,-0.0003032395967423286,0.4985405800014223,10,5,mixed,0.9166772111495296
EEG-ch12,high_beta,mixed-lm,0.0007840503294730914,0.22688181906351224,10,5,mixed,0.9166772111495296
EEG-ch13,high_beta,mixed-lm,-0.0006695142024558354,0.6224003712223284,8,4,mixed,0.9166772111495296
EEG-ch14,high_beta,mixed-lm,0.00014903625060553677,0.8275510296414519,10,5,mixed,0.9166772111495296
EEG-ch15,high_beta,mixed-lm,-0.0012206919314160863,0.06159103843265787,10,5,mixed,0.9166772111495296
EEG-ch16,high_beta,mixed-lm,0.0009397937116299984,0.22750403167653976,10,5,mixed,0.9166772111495296
EEG-ch17,high_beta,mixed-lm,-0.00035962511706300623,0.7954485304771308,9,5,mixed,0.9166772111495296
EEG-ch18,high_beta,mixed-lm,-0.0009529998435039092,0.3830831677262114,8,4,mixed,0.9166772111495296
EEG-ch19,high_beta,mixed-lm,0.0005065184517492763,0.5560789143716752,8,4,mixed,0.9166772111495296
EEG-ch2,high_beta,mixed-lm,-6.625109763945838e-05,0.9414750825772248,10,5,mixed,0.9166772111495296
EEG-ch20,high_beta,mixed-lm,-0.00021718435228014734,0.8307387226042612,10,5,mixed,0.9166772111495296
EEG-ch21,high_beta,mixed-lm,0.0007134888273675318,0.5024692048425685,10,5,mixed,0.9301752126414438
EEG-ch22,high_beta,mixed-lm,0.0011855255255960697,0.21224988306221715,10,5,mixed,0.9301752126414438
EEG-ch23,high_beta,mixed-lm,-0.00021594829549409278,0.8131892490607306,8,4,mixed,0.9301752126414438
EEG-ch24,high_beta,mixed-lm,-0.00045871393036174877,0.34780823500873836,10,5,mixed,0.9301752126414438
EEG-ch25,high_beta,mixed-lm,0.0011433781890567228,0.19540973310256426,10,5,mixed,0.9301752126414438
EEG-ch26,high_beta,mixed-lm,0.0013084284428839178,0.1706872582963309,10,5,mixed,0.9301752126414438
EEG-ch27,high_beta,mixed-lm,-0.0004364684357781156,0.6653813017037915,10,5,mixed,0.9301752126414438
EEG-ch28,high_beta,mixed-lm,-0.00039147162836501075,0.7839441083572934,8,4,mixed,0.9301752126414438
EEG-ch29,high_beta,mixed-lm,-0.0007074069200679129,0.5438181150650301,10,5,mixed,0.9301752126414438
EEG-ch3,high_beta,mixed-lm,-0.00015800012365832966,0.8218707246069782,10,5,mixed,0.9301752126414438
EEG-ch30,high_beta,mixed-lm,-0.0005352879868310006,0.499892320289428,10,5,mixed,0.9301752126414438
EEG-ch31,high_beta,mixed-lm,0.00026868246303435935,0.7909754556854939,10,5,mixed,0.9301752126414438
EEG-ch32,high_beta,mixed-lm,-0.001050531592412918,0.34976101750275534,10,5,mixed,0.9301752126414438
EEG-ch4,high_beta,mixed-lm,-0.0002185289396059525,0.7215871495286252,10,5,mixed,0.9301752126414438
EEG-ch5,high_beta,mixed-lm,0.0005869361220462808,0.45230586012633067,10,5,mixed,0.9301752126414438
EEG-ch6,high_beta,mixed-lm,-0.0005862458204801533,0.3652640483538049,10,5,mixed,0.9301752126414438
EEG-ch7,high_beta,mixed-lm,-0.0007870536022014928,0.2693772275397732,10,5,mixed,0.9301752126414438
EEG-ch8,high_beta,mixed-lm,0.0009407505498559125,0.17980663989722956,10,5,mixed,0.9301752126414438
EEG-ch9,high_beta,mixed-lm,-8.225345585135613e-05,0.9011072372463986,10,5,mixed,0.9301752126414438
EEG-ch1,low_beta,mixed-lm,2.057070435138985e-05,0.9847863887780044,10,5,mixed,0.08327969006521449
EEG-ch10,low_beta,mixed-lm,3.9307052158855246e-05,0.9444568529875268,10,5,mixed,0.08327969006521449
EEG-ch11,low_beta,mixed-lm,0.0005110037371429912,0.5934747795299521,10,5,mixed,0.08327969006521449
EEG-ch12,low_beta,mixed-lm,0.00038450076589486724,0.6006395814757642,10,5,mixed,0.08327969006521449
EEG-ch13,low_beta,mixed-lm,0.0003156641113148185,0.7541760181319875,8,4,mixed,0.08327969006521449
EEG-ch14,low_beta,mixed-lm,0.0004766432405097287,0.6657332378176938,10,5,mixed,0.08327969006521449
EEG-ch15,low_beta,mixed-lm,0.001033708531782486,0.24022171467844777,10,5,mixed,0.08327969006521449
EEG-ch16,low_beta,mixed-lm,0.0015449108150546176,0.016643779881863642,10,5,mixed,0.08327969006521449
EEG-ch17,low_beta,mixed-lm,-0.00020875732717655249,0.8177676168340082,9,5,mixed,0.08327969006521449
EEG-ch18,low_beta,mixed-lm,0.000424601008240554,0.6711371248620327,8,4,mixed,0.08327969006521449
EEG-ch19,low_beta,mixed-lm,-0.0016594516715224817,0.14229712622104038,8,4,mixed,0.08327969006521449
EEG-ch2,low_beta,mixed-lm,-0.00018982966246752357,0.8566246836165208,10,5,mixed,0.08327969006521449
EEG-ch20,low_beta,mixed-lm,-0.0003781499959814201,0.7171229110818931,10,5,mixed,0.08327969006521449
EEG-ch21,low_beta,mixed-lm,0.0010336665803279022,0.1473836642875014,10,5,mixed,0.08327969006521449
EEG-ch22,low_beta,mixed-lm,0.00124827913558576,0.04977022331166004,10,5,mixed,0.08327969006521449
EEG-ch23,low_beta,mixed-lm,0.0005473107542409261,0.5988438314674586,8,4,mixed,0.08327969006521449
EEG-ch24,low_beta,mixed-lm,-0.0005032350597745348,0.424953569509139,10,5,mixed,0.08327969006521449
EEG-ch25,low_beta,mixed-lm,0.0012030751324391368,0.05762263000906503,10,5,mixed,0.08327969006521449
EEG-ch26,low_beta,mixed-lm,0.001928372423524323,0.002602490314537953,10,5,mixed,0.08327969006521449
EEG-ch27,low_beta,mixed-lm,0.00016461964144598023,0.8796616556574682,10,5,mixed,0.45782287946122324
EEG-ch28,low_beta,mixed-lm,-0.00023959589474792592,0.8770878313315578,8,4,mixed,0.45782287946122324
EEG-ch29,low_beta,mixed-lm,0.000527004783182196,0.6354050527714588,10,5,mixed,0.45782287946122324
EEG-ch3,low_beta,mixed-lm,9.316120069337262e-05,0.8996170142888641,10,5,mixed,0.45782287946122324
EEG-ch30,low_beta,mixed-lm,0.0008498277630711812,0.35466115803812437,10,5,mixed,0.45782287946122324
EEG-ch31,low_beta,mixed-lm,0.0012681808236948192,0.07153482491581613,10,5,mixed,0.45782287946122324
EEG-ch32,low_beta,mixed-lm,0.0005233888347996714,0.49443930764202937,10,5,mixed,1.0
EEG-ch4,low_beta,mixed-lm,0.0005878473577089113,0.5779687011876362,10,5,mixed,1.0
EEG-ch5,low_beta,mixed-lm,0.00021586527487871442,0.7759390293542512,10,5,mixed,1.0
EEG-ch6,low_beta,mixed-lm,0.00028875439956604606,0.8125671837739247,10,5,mixed,1.0
EEG-ch7,low_beta,mixed-lm,0.0005466044471298624,0.3836070709097711,10,5,mixed,1.0
EEG-ch8,low_beta,mixed-lm,0.0002467159846955705,0.6210103530509657,10,5,mixed,1.0
EEG-ch9,low_beta,mixed-lm,0.000389053667761849,0.3481113343059852,10,5,mixed,1.0
EEG-ch1,theta,mixed-lm,0.0006992967034775186,0.6082271664695105,10,5,mixed,0.09360266320119719
EEG-ch10,theta,mixed-lm,0.0018429557104133291,0.3910482835965955,10,5,mixed,0.09360266320119719
EEG-ch11,theta,mixed-lm,0.0035137884530191303,0.19562455193454897,10,5,mixed,0.09360266320119719
EEG-ch12,theta,mixed-lm,0.000609750187920732,0.8494731678702515,10,5,mixed,0.09360266320119719
EEG-ch13,theta,mixed-lm,0.004522258243575882,0.012358070615450913,8,4,mixed,0.09360266320119719
EEG-ch14,theta,mixed-lm,0.003933127788941314,0.03087726658081517,10,5,mixed,0.09360266320119719
EEG-ch15,theta,mixed-lm,0.004672473286791978,0.06017870640237299,10,5,mixed,0.09360266320119719
EEG-ch16,theta,mixed-lm,0.0008383409957375666,0.7505684299971428,10,5,mixed,0.09360266320119719
EEG-ch17,theta,mixed-lm,0.0028855908803015733,0.06120188443295409,9,5,mixed,0.09360266320119719
EEG-ch18,theta,mixed-lm,0.003077584528222468,0.03141701165878625,8,4,mixed,0.09360266320119719
EEG-ch19,theta,mixed-lm,0.0012182724892329624,0.5474522719058708,8,4,mixed,0.09360266320119719
EEG-ch2,theta,mixed-lm,0.0009625684158569576,0.45231496420559514,10,5,mixed,0.09360266320119719
EEG-ch20,theta,mixed-lm,-9.955187001482735e-05,0.9726742359805447,10,5,mixed,0.09360266320119719
EEG-ch21,theta,mixed-lm,0.0025827080814307276,0.5209757266897974,10,5,mixed,0.09360266320119719
EEG-ch22,theta,mixed-lm,0.0022193648111602745,0.49244766733458534,10,5,mixed,0.09360266320119719
EEG-ch23,theta,mixed-lm,0.004389087501851571,0.002925083225037412,8,4,mixed,0.09360266320119719
EEG-ch24,theta,mixed-lm,0.001395614732112636,0.6227514513035173,10,5,mixed,0.314566772543445
EEG-ch25,theta,mixed-lm,0.0003245285360986982,0.9231405380842367,10,5,mixed,0.314566772543445
EEG-ch26,theta,mixed-lm,0.0010374605632852939,0.7407519827726645,10,5,mixed,0.314566772543445
EEG-ch27,theta,mixed-lm,0.004598279445004045,0.04915105820991328,10,5,mixed,0.314566772543445
EEG-ch28,theta,mixed-lm,0.005510769925753374,0.10065859679799338,8,4,mixed,0.40263438719197353
EEG-ch29,theta,mixed-lm,0.003827464646754582,0.13141569249167592,10,5,mixed,0.42053021597336293
EEG-ch3,theta,mixed-lm,0.0009739254787551322,0.47901719763233697,10,5,mixed,0.4312193477254716
EEG-ch30,theta,mixed-lm,0.0005162910807875406,0.8081243429277933,10,5,mixed,0.4312193477254716
EEG-ch31,theta,mixed-lm,0.0020160435870502187,0.3783218874487829,10,5,mixed,0.4312193477254716
EEG-ch32,theta,mixed-lm,0.004381814798135932,0.12128044154778889,10,5,mixed,0.4312193477254716
EEG-ch4,theta,mixed-lm,0.0020835875853884196,0.1996700264142207,10,5,mixed,0.5324534037712553
EEG-ch5,theta,mixed-lm,0.0014249157047935357,0.3253726768719992,10,5,mixed,0.5652020502581975
EEG-ch6,theta,mixed-lm,-0.0011483489807042903,0.4633875492027111,10,5,mixed,0.5652020502581975
EEG-ch7,theta,mixed-lm,0.002778481941867716,0.33666636057507726,10,5,mixed,0.5652020502581975
EEG-ch8,theta,mixed-lm,0.002187107719617787,0.23531254852002526,10,5,mixed,0.5652020502581975
EEG-ch9,theta,mixed-lm,0.002142523327489031,0.24727589698796137,10,5,mixed,0.5652020502581975
