channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch12,gamma1,mixed-lm,0.0011953955986367293,0.14058679743821503,10,5,mixed,0.5304715621505295
EEG-ch13,gamma1,mixed-lm,0.0004454657933759612,0.7670982163993143,8,4,mixed,0.5304715621505295
EEG-ch14,gamma1,mixed-lm,0.0008613421990772065,0.4363320597494169,10,5,mixed,0.5304715621505295
EEG-ch15,gamma1,mixed-lm,0.00018967520539860014,0.8804567477965773,10,5,mixed,0.5304715621505295
EEG-ch16,gamma1,mixed-lm,-5.894885418297296e-05,0.9345663598663096,10,5,mixed,0.5304715621505295
EEG-ch17,gamma1,mixed-lm,0.001487498559737954,0.27722473521769864,8,4,mixed,0.5304715621505295
EEG-ch18,gamma1,mixed-lm,0.001338458639388384,0.3160329635978183,8,4,mixed,0.5304715621505295
EEG-ch19,gamma1,mixed-lm,-0.0009973985815376176,0.5338735759704893,8,4,mixed,0.5304715621505295
EEG-ch2,gamma1,mixed-lm,0.0018549376552362204,0.06630894526881619,10,5,mixed,0.5304715621505295
EEG-ch20,gamma1,mixed-lm,0.002746982721033338,0.02064820403639951,10,5,mixed,0.6134513560006899
EEG-ch21,gamma1,mixed-lm,0.0008907613481754503,0.5009928242013144,10,5,mixed,0.6134513560006899
EEG-ch22,gamma1,mixed-lm,0.0006193635286067669,0.6197371703437966,10,5,mixed,0.6134513560006899
EEG-ch23,gamma1,mixed-lm,0.0017060235989455439,0.26940041455422203,8,4,mixed,0.6134513560006899
EEG-ch24,gamma1,mixed-lm,-0.0021585822754143875,0.057511064625064674,10,5,mixed,0.6134513560006899
EEG-ch25,gamma1,mixed-lm,0.0009409554725476509,0.31029985093343926,10,5,mixed,0.6479365189915633
EEG-ch26,gamma1,mixed-lm,0.0010088278120490032,0.18591238509623242,10,5,mixed,0.6479365189915633
EEG-ch27,gamma1,mixed-lm,0.001482771738402828,0.24311660169564298,10,5,mixed,0.6479365189915633
EEG-ch28,gamma1,mixed-lm,-4.5984659752693665e-05,0.9695510789779176,8,4,mixed,0.6479365189915633
EEG-ch29,gamma1,mixed-lm,0.000687511312813142,0.5663074605394771,10,5,mixed,0.6479365189915633
EEG-ch3,gamma1,mixed-lm,0.0016610547971116004,0.1826273645512002,10,5,mixed,0.6479365189915633
EEG-ch30,gamma1,mixed-lm,-0.000830567364396368,0.4396384947933213,10,5,mixed,0.6479365189915633
EEG-ch31,gamma1,mixed-lm,-0.00023520457156344022,0.7910807380544457,10,5,mixed,0.6479365189915633
EEG-ch32,gamma1,mixed-lm,0.00017695875512997993,0.8320655292949477,10,5,mixed,0.6479365189915633
EEG-ch4,gamma1,mixed-lm,0.0008053115389440587,0.3239682594957817,10,5,mixed,0.6479365189915633
EEG-ch5,gamma1,mixed-lm,0.0010809873078949843,0.11040141324793129,10,5,mixed,0.6848104372885847
EEG-ch6,gamma1,mixed-lm,-9.273302608376836e-05,0.927518672481054,10,5,mixed,0.6848104372885847
EEG-ch7,gamma1,mixed-lm,0.0005124625628874148,0.5889866464003917,10,5,mixed,0.6848104372885847
EEG-ch8,gamma1,mixed-lm,0.0007908828824370207,0.3210048924790241,10,5,mixed,0.6848104372885847
EEG-ch9,gamma1,mixed-lm,0.00033891818960392816,0.7480791319844605,10,5,mixed,0.9974388426459474
EEG-ch1,high_beta,mixed-lm,0.00012602186793200218,0.7813277426187261,10,5,mixed,0.017585864099247436
EEG-ch10,high_beta,mixed-lm,0.00016981058556647026,0.5191922865779542,10,5,mixed,0.017585864099247436
EEG-ch11,high_beta,mixed-lm,0.0007330996072532326,0.09708693700774297,10,5,mixed,0.017585864099247436
EEG-ch12,high_beta,mixed-lm,0.0011939860182671423,0.0056687147872480585,10,5,mixed,0.017585864099247436
EEG-ch13,high_beta,mixed-lm,0.0005305005082834094,0.5190571432995968,8,4,mixed,0.017585864099247436
EEG-ch14,high_beta,mixed-lm,0.00040539476045831004,0.5005269616472411,10,5,mixed,0.017585864099247436
EEG-ch15,high_beta,mixed-lm,-0.00040718998023057083,0.3732008917803271,10,5,mixed,0.017585864099247436
EEG-ch16,high_beta,mixed-lm,0.0014573256716988651,0.0010991165062029648,10,5,mixed,0.017585864099247436
EEG-ch17,high_beta,mixed-lm,0.0013015166960923179,0.17626507515390732,8,4,mixed,0.0334413607370861
EEG-ch18,high_beta,mixed-lm,-8.50425738641177e-06,0.9938254412981955,8,4,mixed,0.0334413607370861
EEG-ch19,high_beta,mixed-lm,0.00031118156941667896,0.6740651182432955,8,4,mixed,0.0334413607370861
EEG-ch2,high_beta,mixed-lm,0.0008609301901053917,0.15976658583789116,10,5,mixed,0.0334413607370861
EEG-ch20,high_beta,mixed-lm,0.001944557976675864,0.0010450425230339405,10,5,mixed,0.0334413607370861
EEG-ch21,high_beta,mixed-lm,0.001382932712543073,0.07308007108105526,10,5,mixed,0.04171219011505845
EEG-ch22,high_beta,mixed-lm,0.0011101199891620217,0.21968922085352738,10,5,mixed,0.04171219011505845
EEG-ch23,high_beta,mixed-lm,8.468557056813303e-05,0.9237901312107523,8,4,mixed,0.04171219011505845
EEG-ch24,high_beta,mixed-lm,0.00045453022534157166,0.41877035651622296,10,5,mixed,0.04171219011505845
EEG-ch25,high_beta,mixed-lm,0.002252255548436906,0.00391051782328673,10,5,mixed,0.04171219011505845
EEG-ch26,high_beta,mixed-lm,0.0014336651254547867,0.14914883915528884,10,5,mixed,0.15754683365944627
EEG-ch27,high_beta,mixed-lm,0.0007384527907735722,0.5149111068892128,10,5,mixed,0.15754683365944627
EEG-ch28,high_beta,mixed-lm,0.0006874923681729927,0.6383691361029025,8,4,mixed,0.15754683365944627
EEG-ch29,high_beta,mixed-lm,0.002196868938681233,0.03729145530305045,10,5,mixed,0.15754683365944627
EEG-ch3,high_beta,mixed-lm,-0.00011024907749613529,0.8473037420046656,10,5,mixed,0.15754683365944627
EEG-ch30,high_beta,mixed-lm,0.0017026872760567836,0.0326272671609959,10,5,mixed,0.15754683365944627
EEG-ch31,high_beta,mixed-lm,0.0027334877874054747,0.02461669275928848,10,5,mixed,0.15754683365944627
EEG-ch32,high_beta,mixed-lm,0.0013186401688202733,0.19715034483697036,10,5,mixed,0.4852931565217732
EEG-ch4,high_beta,mixed-lm,0.00034263416931109637,0.5517711634434643,10,5,mixed,0.7502704060821358
EEG-ch5,high_beta,mixed-lm,0.0006605158008196452,0.4879814860052719,10,5,mixed,0.7502704060821358
EEG-ch6,high_beta,mixed-lm,0.0001632109268471262,0.8060721134176051,10,5,mixed,0.7502704060821358
EEG-ch7,high_beta,mixed-lm,-0.00013943442083287597,0.8726298740371371,10,5,mixed,0.7502704060821358
EEG-ch8,high_beta,mixed-lm,0.0008989015297587841,0.35168925285100117,10,5,mixed,0.7502704060821358
EEG-ch9,high_beta,mixed-lm,-0.0003898689912927934,0.7304349499750495,10,5,mixed,0.8989968615077533
EEG-ch1,low_beta,mixed-lm,0.0006162955411107487,0.570099893137449,10,5,mixed,0.32646761801277
EEG-ch10,low_beta,mixed-lm,6.753724028719983e-05,0.9257257118042799,10,5,mixed,0.32646761801277
EEG-ch11,low_beta,mixed-lm,0.0009706007464807698,0.4624284876022353,10,5,mixed,0.32646761801277
