channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch3,delta,mixed-lm,0.005315536864528938,0.27314306988761405,10,5,mixed,0.10966337397323399
EEG-ch30,delta,mixed-lm,0.009531924687558873,0.1449623807436811,10,5,mixed,0.10966337397323399
EEG-ch31,delta,mixed-lm,0.022230664647217194,0.006853960873327124,10,5,mixed,0.10966337397323399
EEG-ch32,delta,mixed-lm,0.008991013580413786,0.24318472123275037,10,5,mixed,0.6484925899540009
EEG-ch4,delta,mixed-lm,0.00030779837359821386,0.9362657149129463,10,5,mixed,0.7756305240744737
EEG-ch5,delta,mixed-lm,-0.0019579016230571906,0.783349304602915,10,5,mixed,0.7756305240744737
EEG-ch6,delta,mixed-lm,2.490212722770502e-05,0.9968913155723726,10,5,mixed,0.7756305240744737
EEG-ch7,delta,mixed-lm,-0.002744425732904415,0.7113317576878257,10,5,mixed,0.7756305240744737
EEG-ch8,delta,mixed-lm,0.0037831746476701374,0.680644012740765,10,5,mixed,0.7756305240744737
EEG-ch9,delta,mixed-lm,0.0030799191395335357,0.6059613469331826,10,5,mixed,0.7756305240744737
EEG-ch1,gamma1,mixed-lm,0.000805940176771911,0.5169022488212278,10,5,mixed,0.006761362724661574
EEG-ch10,gamma1,mixed-lm,0.0009583064183189144,0.42736695622182597,10,5,mixed,0.006761362724661574
EEG-ch11,gamma1,mixed-lm,0.0013437599297365936,0.18823881553743738,10,5,mixed,0.006761362724661574
EEG-ch12,gamma1,mixed-lm,0.0020574959801471842,0.2417591281514675,10,5,mixed,0.006761362724661574
EEG-ch13,gamma1,mixed-lm,0.0015860433877428945,0.3938850408215211,8,4,mixed,0.006761362724661574
EEG-ch14,gamma1,mixed-lm,-3.9649005296164135e-05,0.9750341626083486,10,5,mixed,0.006761362724661574
EEG-ch15,gamma1,mixed-lm,0.0014024111271161636,0.35720003238358455,10,5,mixed,0.006761362724661574
EEG-ch16,gamma1,mixed-lm,0.0029005073487790487,0.04020479448180915,10,5,mixed,0.006761362724661574
EEG-ch17,gamma1,mixed-lm,0.0021335643606998594,0.14871951835586805,9,5,mixed,0.006761362724661574
EEG-ch18,gamma1,mixed-lm,0.001203969976154652,0.36396854515679566,8,4,mixed,0.006761362724661574
EEG-ch19,gamma1,mixed-lm,0.0009216521512445857,0.42115335331415804,8,4,mixed,0.006761362724661574
EEG-ch2,gamma1,mixed-lm,-0.00039926924564586894,0.7292508940028007,10,5,mixed,0.006761362724661574
EEG-ch20,gamma1,mixed-lm,0.0010136256085858059,0.49138779225163387,10,5,mixed,0.006761362724661574
EEG-ch21,gamma1,mixed-lm,0.002074196991805018,0.2896929736630145,10,5,mixed,0.006761362724661574
EEG-ch22,gamma1,mixed-lm,0.0016594099717905562,0.3909119106147826,10,5,mixed,0.006761362724661574
EEG-ch23,gamma1,mixed-lm,0.0005779804144809559,0.6968012977327116,8,4,mixed,0.006761362724661574
EEG-ch24,gamma1,mixed-lm,0.00479868613743487,0.00021129258514567418,10,5,mixed,0.006761362724661574
EEG-ch25,gamma1,mixed-lm,0.0020511494298218543,0.26312456490110936,10,5,mixed,0.007407961391147297
EEG-ch26,gamma1,mixed-lm,0.0009050242072329706,0.5782555295042958,10,5,mixed,0.007407961391147297
EEG-ch27,gamma1,mixed-lm,0.00025714225545209765,0.8474132853314136,10,5,mixed,0.007407961391147297
EEG-ch28,gamma1,mixed-lm,0.0005813798305871897,0.5629898477247399,8,4,mixed,0.007407961391147297
EEG-ch29,gamma1,mixed-lm,0.0009759153713330378,0.127439206547275,10,5,mixed,0.007407961391147297
EEG-ch3,gamma1,mixed-lm,-0.0005827149673556434,0.6913882789318968,10,5,mixed,0.007407961391147297
EEG-ch30,gamma1,mixed-lm,0.0038275181036226185,0.00046299758694670607,10,5,mixed,0.007407961391147297
EEG-ch31,gamma1,mixed-lm,0.0022847099693830133,0.10101103321770917,10,5,mixed,0.2832571985874856
EEG-ch32,gamma1,mixed-lm,0.0017722738064971115,0.2506832274360856,10,5,mixed,0.2832571985874856
