subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,optimal_lag_samples
3,MULTI,EEG-ch23,alpha,8.0,13,0.017180218133272057,6.888421581273868e-07,0.033315826410534675,-109.375,-28
3,MULTI,EEG-ch24,alpha,8.0,13,0.006921648565497932,0.04550121853004491,0.054665758831785996,230.46875,59
3,MULTI,EEG-ch25,alpha,8.0,13,0.010833725562203054,0.0017455099616880392,0.03616574930735888,-117.1875,-30
3,MULTI,EEG-ch26,alpha,8.0,13,0.009721901378604368,0.004967262390823321,-0.02321733202281852,-66.40625,-17
3,MULTI,EEG-ch27,alpha,8.0,13,0.014042754293693272,4.954429346007703e-05,-0.026446108497421787,-62.5,-16
3,MULTI,EEG-ch28,alpha,8.0,13,0.01416396798267323,4.262035104585371e-05,0.025937761494017088,-113.28125,-29
3,MULTI,EEG-ch29,alpha,8.0,13,0.01360174764944884,8.483218103061937e-05,0.029494668714735398,410.15625,105
3,MULTI,EEG-ch30,alpha,8.0,13,0.027236394159643167,3.511253432856387e-15,-0.042862236689688374,500.0,128
3,MULTI,EEG-ch31,alpha,8.0,13,-0.012764905097069856,0.00022558887830547233,0.04290115714550652,128.90625,33
3,MULTI,EEG-ch32,alpha,8.0,13,0.015496910623053703,7.53439815133947e-06,-0.026866996853004078,277.34375,71
3,MULTI,EEG-ch1,low_beta,13.0,20,-0.025677588583596422,1.165886857154937e-13,-0.0490321901640022,-378.90625,-97
3,MULTI,EEG-ch2,low_beta,13.0,20,-0.02953519911100182,1.3910029272469568e-17,0.04622244979109325,-351.5625,-90
3,MULTI,EEG-ch3,low_beta,13.0,20,-0.03519457261959955,2.633291715251014e-24,-0.03740531502724583,-3.90625,-1
3,MULTI,EEG-ch4,low_beta,13.0,20,-0.005045510081724488,0.14487418364821059,0.03656952494103103,-187.5,-48
3,MULTI,EEG-ch5,low_beta,13.0,20,0.004298710880422499,0.2142028229423801,0.04866401805076458,-191.40625,-49
3,MULTI,EEG-ch6,low_beta,13.0,20,-0.014535080105880716,2.6686472368066908e-05,0.044587959885184145,-191.40625,-49
3,MULTI,EEG-ch7,low_beta,13.0,20,-0.004169559534281567,0.22829076384477692,-0.04326348724255406,-214.84375,-55
3,MULTI,EEG-ch8,low_beta,13.0,20,-0.0021917386469025857,0.526544295672834,0.03878121031096326,-187.5,-48
3,MULTI,EEG-ch9,low_beta,13.0,20,0.003693452661592405,0.28587983424877333,0.04160352054435107,500.0,128
3,MULTI,EEG-ch10,low_beta,13.0,20,-0.011235827888045226,0.0011678219480596433,0.05674405310099963,-191.40625,-49
3,MULTI,EEG-ch11,low_beta,13.0,20,-0.014274512195035378,3.7115146587480686e-05,-0.058874177711005476,-218.75,-56
3,MULTI,EEG-ch12,low_beta,13.0,20,-0.0018347790633490646,0.5960090308178327,0.04846688064700371,-187.5,-48
3,MULTI,EEG-ch13,low_beta,13.0,20,-0.004022939391267022,0.24506979071104973,0.03226405333659119,-414.0625,-106
3,MULTI,EEG-ch14,low_beta,13.0,20,-0.00016807285626293774,0.9612670751884905,0.03741340333738276,-46.875,-12
3,MULTI,EEG-ch15,low_beta,13.0,20,0.0020020216870762966,0.5629453166110632,0.029284548580024324,-484.375,-124
3,MULTI,EEG-ch16,low_beta,13.0,20,-0.012153591094441328,0.000445025753511107,0.05128286820279976,-187.5,-48
3,MULTI,EEG-ch17,low_beta,13.0,20,-0.0007787563277875084,0.8219661890095216,-0.02824776885112089,-214.84375,-55
3,MULTI,EEG-ch18,low_beta,13.0,20,-0.005139624148339595,0.13752470851886214,0.040451029037502556,-488.28125,-125
3,MULTI,EEG-ch19,low_beta,13.0,20,0.005827275697018683,0.0922262662300373,-0.048349846846211755,-386.71875,-99
3,MULTI,EEG-ch20,low_beta,13.0,20,-0.006475690185597242,0.06132707437105394,0.058644669140987156,-183.59375,-47
3,MULTI,EEG-ch21,low_beta,13.0,20,-0.010382673191496975,0.002699002428471876,0.051292892753722216,-187.5,-48
3,MULTI,EEG-ch22,low_beta,13.0,20,-0.0070402413829101515,0.04192548188977559,0.05050227339691258,-355.46875,-91
3,MULTI,EEG-ch23,low_beta,13.0,20,-0.023139107335599946,2.28109477727936e-11,0.03830107484179705,-242.1875,-62
3,MULTI,EEG-ch24,low_beta,13.0,20,0.008155315323814468,0.018449721435922935,0.08303966069015355,-250.0,-64
3,MULTI,EEG-ch25,low_beta,13.0,20,-0.007032669847948042,0.0421464446192697,0.0513422421731833,-187.5,-48
3,MULTI,EEG-ch26,low_beta,13.0,20,-0.01050079717278536,0.0024115567733664443,0.04830074607092615,-187.5,-48
3,MULTI,EEG-ch27,low_beta,13.0,20,-0.01782444307016116,2.595563567685209e-07,0.041057876822818924,-187.5,-48
3,MULTI,EEG-ch28,low_beta,13.0,20,-0.011497382564592748,0.0008930847184145096,-0.04039287846884493,-214.84375,-55
3,MULTI,EEG-ch29,low_beta,13.0,20,-0.012163342936096798,0.00044033040189570764,0.04830377208620901,-187.5,-48
3,MULTI,EEG-ch30,low_beta,13.0,20,-0.004357180699443556,0.20803532487217494,0.05896456259927404,-304.6875,-78
3,MULTI,EEG-ch31,low_beta,13.0,20,-0.01632640289138558,2.384945288367238e-06,0.030655111726000144,-492.1875,-126
3,MULTI,EEG-ch32,low_beta,13.0,20,-0.012105390283157883,0.0004689277635033057,-0.03993004694086113,-218.75,-56
3,MULTI,EEG-ch1,high_beta,20.0,30,0.0020354674111188044,0.5564408574229311,0.0326921073599564,203.125,52
3,MULTI,EEG-ch2,high_beta,20.0,30,-0.005007542724316261,0.14792288144902158,0.05588588062118409,-292.96875,-75
3,MULTI,EEG-ch3,high_beta,20.0,30,0.01466648072902165,2.2550360373615832e-05,0.03553929770950019,-148.4375,-38
3,MULTI,EEG-ch4,high_beta,20.0,30,0.004605720161078254,0.1832544373773082,0.04266171063844039,-496.09375,-127
3,MULTI,EEG-ch5,high_beta,20.0,30,-0.007338764778198044,0.03396231056145066,-0.032851681861767325,464.84375,119
3,MULTI,EEG-ch6,high_beta,20.0,30,0.0005865072411076297,0.8654288349733591,0.04406143937871134,-191.40625,-49
3,MULTI,EEG-ch7,high_beta,20.0,30,0.01293616506883536,0.00018550422358346353,0.05034858543245339,-496.09375,-127
3,MULTI,EEG-ch8,high_beta,20.0,30,0.015212210433396588,1.1040226524269026e-05,0.055042901980514196,-113.28125,-29
3,MULTI,EEG-ch9,high_beta,20.0,30,-0.010250801890080749,0.003056645436003583,-0.036704842544982685,250.0,64
3,MULTI,EEG-ch10,high_beta,20.0,30,-0.019628108160775606,1.411681173836574e-08,-0.037416183084379856,74.21875,19
3,MULTI,EEG-ch11,high_beta,20.0,30,0.01938939735652404,2.107070768998072e-08,0.039362964786349985,-496.09375,-127
3,MULTI,EEG-ch12,high_beta,20.0,30,0.010326212412173472,0.0028471675481003475,0.04205290831318998,-496.09375,-127
3,MULTI,EEG-ch13,high_beta,20.0,30,-0.006207706451649385,0.07286180602916156,0.042165077469573146,50.78125,13
3,MULTI,EEG-ch14,high_beta,20.0,30,-0.026905378886972836,7.512090376953224e-15,0.046778067772824235,54.6875,14
3,MULTI,EEG-ch15,high_beta,20.0,30,0.0025993880430967057,0.4526055707728549,0.029129403018352946,328.125,84
3,MULTI,EEG-ch16,high_beta,20.0,30,0.011635762413568182,0.0007732554665016712,0.04010353028800103,-496.09375,-127
3,MULTI,EEG-ch17,high_beta,20.0,30,0.004974771449404009,0.1505935517284637,0.03931415147991137,226.5625,58
3,MULTI,EEG-ch18,high_beta,20.0,30,-0.00204733091818155,0.5541425023023357,0.043153600588422936,50.78125,13
