channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch17,gamma1,mixed-lm,-0.010635309757239992,0.001279732418560944,9,5,mixed,0.0008154445243376289
EEG-ch18,gamma1,mixed-lm,-0.008381247889603673,0.05082865827970593,8,4,mixed,0.0008154445243376289
EEG-ch19,gamma1,mixed-lm,-0.002782599444416001,0.5577498177748593,8,4,mixed,0.0008154445243376289
EEG-ch2,gamma1,mixed-lm,-0.003636938396331718,0.1966770414882577,10,5,mixed,0.0008154445243376289
EEG-ch20,gamma1,mixed-lm,-0.00864353933426438,0.2067988026191605,10,5,mixed,0.0008154445243376289
EEG-ch21,gamma1,mixed-lm,-1.6664386915590192e-05,0.9948709832666511,10,5,mixed,0.0008154445243376289
EEG-ch22,gamma1,mixed-lm,-0.0014369642186033483,0.3774283678414686,10,5,mixed,0.0008154445243376289
EEG-ch23,gamma1,mixed-lm,-0.001532776149863027,0.7044503628231852,8,4,mixed,0.0008154445243376289
EEG-ch24,gamma1,mixed-lm,0.0021788267139127883,0.5920869511943492,10,5,mixed,0.0008154445243376289
EEG-ch25,gamma1,mixed-lm,-0.0004517309863881017,0.6988791076678795,10,5,mixed,0.0008154445243376289
EEG-ch26,gamma1,mixed-lm,-0.0015185467562106331,0.3791647017495249,10,5,mixed,0.0008154445243376289
EEG-ch27,gamma1,mixed-lm,-0.007129804319686428,0.19925195426474196,10,5,mixed,0.0008154445243376289
EEG-ch28,gamma1,mixed-lm,-0.00993815412793057,0.04136780009532765,8,4,mixed,0.0008154445243376289
EEG-ch29,gamma1,mixed-lm,-0.01356667264215514,0.0973555440236116,10,5,mixed,0.0008154445243376289
EEG-ch3,gamma1,mixed-lm,-0.007476193985997479,0.13972141318933023,10,5,mixed,0.0008154445243376289
EEG-ch30,gamma1,mixed-lm,-0.0012345411572075703,0.5493689537639935,10,5,mixed,0.0008154445243376289
EEG-ch31,gamma1,mixed-lm,-0.005457350193554196,0.22025954655924695,10,5,mixed,0.0008154445243376289
EEG-ch32,gamma1,mixed-lm,-0.0037429749971695223,0.06379195581981024,10,5,mixed,0.0008154445243376289
EEG-ch4,gamma1,mixed-lm,-0.007228952953798183,0.015114307556058169,10,5,mixed,0.0008154445243376289
EEG-ch5,gamma1,mixed-lm,-0.006497907155766089,0.25220662915504233,10,5,mixed,0.0008154445243376289
EEG-ch6,gamma1,mixed-lm,-0.008670650019099857,2.8552840148944613e-05,10,5,mixed,0.0008154445243376289
EEG-ch7,gamma1,mixed-lm,-0.002110929879393707,0.46192330644213486,10,5,mixed,0.0008154445243376289
EEG-ch8,gamma1,mixed-lm,-0.006210514855195209,0.03827575505580193,10,5,mixed,0.0008154445243376289
EEG-ch9,gamma1,mixed-lm,-0.005456409442619024,5.0965282771101806e-05,10,5,mixed,0.0008154445243376289
EEG-ch1,high_beta,mixed-lm,0.001934192253520168,0.717025268337463,10,5,mixed,0.028477690007857923
EEG-ch10,high_beta,mixed-lm,0.013722410459732323,0.0008899278127455601,10,5,mixed,0.028477690007857923
EEG-ch11,high_beta,mixed-lm,0.0030911783677276964,0.750772921490581,10,5,mixed,0.9240282110653304
EEG-ch12,high_beta,mixed-lm,-0.0004692675807312661,0.956510461812844,10,5,mixed,0.9314990965487994
EEG-ch13,high_beta,mixed-lm,0.005703870553109793,0.4129321361063104,8,4,mixed,0.9314990965487994
EEG-ch14,high_beta,mixed-lm,0.0034773543720161143,0.5918449315663876,10,5,mixed,0.9314990965487994
