channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch28,delta,mixed-lm,-0.010283551089077306,0.40459113558005977,8,4,mixed,0.01459840849479557
EEG-ch29,delta,mixed-lm,-0.0024032300451778755,0.9154112495858142,10,5,mixed,0.01459840849479557
EEG-ch3,delta,mixed-lm,-0.0008877366437050255,0.9584243879327816,10,5,mixed,0.01459840849479557
EEG-ch30,delta,mixed-lm,0.006989138205506407,0.7213119788756512,10,5,mixed,0.01459840849479557
EEG-ch31,delta,mixed-lm,0.03186837252951759,0.024511038445272373,10,5,mixed,0.01459840849479557
EEG-ch32,delta,mixed-lm,-0.009984858642667562,0.5192591419377253,10,5,mixed,0.01459840849479557
EEG-ch4,delta,mixed-lm,-0.004704068405209672,0.7204974343720696,10,5,mixed,0.01459840849479557
EEG-ch5,delta,mixed-lm,0.017962951984659272,0.21348467874900545,10,5,mixed,0.01459840849479557
EEG-ch6,delta,mixed-lm,-0.02035173647611139,0.18294771859533188,10,5,mixed,0.01459840849479557
EEG-ch7,delta,mixed-lm,0.03406372507368184,0.00045620026546236154,10,5,mixed,0.01459840849479557
EEG-ch8,delta,mixed-lm,0.010601867776829097,0.5605012465146083,10,5,mixed,0.9795444071135745
EEG-ch9,delta,mixed-lm,-0.0003621571116658832,0.9795444071135745,10,5,mixed,0.9795444071135745
EEG-ch1,gamma1,mixed-lm,-0.0015769187952428387,0.7631600027015216,10,5,mixed,0.9790811763142099
EEG-ch10,gamma1,mixed-lm,-0.003927231411978686,0.4163888849515024,10,5,mixed,0.9790811763142099
EEG-ch11,gamma1,mixed-lm,0.0005990098016515628,0.8430025133114867,10,5,mixed,0.9790811763142099
EEG-ch12,gamma1,mixed-lm,-0.00016869446575770722,0.9753607704977345,10,5,mixed,0.9790811763142099
EEG-ch13,gamma1,mixed-lm,-0.00377580754074916,0.6468298304067228,8,4,mixed,0.9790811763142099
EEG-ch14,gamma1,mixed-lm,0.0015514675733629877,0.8344151379336717,10,5,mixed,0.9790811763142099
EEG-ch15,gamma1,mixed-lm,0.0031223751037140197,0.5020428017365361,10,5,mixed,0.9790811763142099
EEG-ch16,gamma1,mixed-lm,0.004859129270928922,0.19883440530888408,10,5,mixed,0.9790811763142099
EEG-ch17,gamma1,mixed-lm,0.00351257159036087,0.373336651482011,9,5,mixed,0.9790811763142099
EEG-ch18,gamma1,mixed-lm,-0.000699501305085995,0.8635102594614922,8,4,mixed,0.9790811763142099
EEG-ch19,gamma1,mixed-lm,-0.0014852205787248237,0.46042090620125775,8,4,mixed,0.9790811763142099
EEG-ch2,gamma1,mixed-lm,0.0031692546159157987,0.4944826795504963,10,5,mixed,0.9790811763142099
EEG-ch20,gamma1,mixed-lm,-0.004424360603133803,0.6783495024248238,10,5,mixed,0.9790811763142099
EEG-ch21,gamma1,mixed-lm,0.0017606846618718937,0.7933014817406834,10,5,mixed,0.9790811763142099
EEG-ch22,gamma1,mixed-lm,-0.0008161082071173055,0.8872923160347527,10,5,mixed,0.9790811763142099
EEG-ch23,gamma1,mixed-lm,0.0015332323325090084,0.6289988501911925,8,4,mixed,0.9845112141110286
EEG-ch24,gamma1,mixed-lm,0.001982483616488344,0.6841852788944158,10,5,mixed,0.9845112141110286
EEG-ch25,gamma1,mixed-lm,0.0025960725833273227,0.5704438573205994,10,5,mixed,0.9845112141110286
EEG-ch26,gamma1,mixed-lm,0.0014689350555696754,0.8084138932581253,10,5,mixed,0.9845112141110286
EEG-ch27,gamma1,mixed-lm,-0.0005459880524343406,0.9229792632290893,10,5,mixed,0.9845112141110286
EEG-ch28,gamma1,mixed-lm,-0.0013689126891809505,0.7258064878672765,8,4,mixed,0.9940951126773627
EEG-ch29,gamma1,mixed-lm,-0.005284726915108113,0.5560291422102714,10,5,mixed,0.9940951126773627
EEG-ch3,gamma1,mixed-lm,-0.002912489335401289,0.35148810186436064,10,5,mixed,0.9940951126773627
EEG-ch30,gamma1,mixed-lm,-0.0020334206581798936,0.7381837772937722,10,5,mixed,0.9940951126773627
EEG-ch31,gamma1,mixed-lm,0.0033119449311122275,0.3224974326773171,10,5,mixed,0.9940951126773627
EEG-ch32,gamma1,mixed-lm,-0.0011503333218115266,0.8033781812778986,10,5,mixed,0.9940951126773627
EEG-ch4,gamma1,mixed-lm,0.0022034012232246677,0.662794661911555,10,5,mixed,0.9940951126773627
EEG-ch5,gamma1,mixed-lm,0.0026162838901960164,0.5239434956272828,10,5,mixed,0.9940951126773627
EEG-ch6,gamma1,mixed-lm,0.005843583207567863,0.37596092318005825,10,5,mixed,0.9940951126773627
EEG-ch7,gamma1,mixed-lm,0.0013888136815204198,0.8014861000382517,10,5,mixed,0.9940951126773627
EEG-ch8,gamma1,mixed-lm,-0.001072433879478877,0.8559026827492797,10,5,mixed,0.9940951126773627
EEG-ch9,gamma1,mixed-lm,-4.5763755585262986e-05,0.9940951126773627,10,5,mixed,0.9940951126773627
EEG-ch1,high_beta,mixed-lm,0.002483789381121595,0.3364591321661614,10,5,mixed,0.04494249447197086
EEG-ch10,high_beta,mixed-lm,0.0013496406228706362,0.8589703814825396,10,5,mixed,0.04494249447197086
EEG-ch11,high_beta,mixed-lm,0.006108625031022106,0.3342712900436058,10,5,mixed,0.04494249447197086
EEG-ch12,high_beta,mixed-lm,-0.0015144837219629066,0.8665628739473779,10,5,mixed,0.04494249447197086
EEG-ch13,high_beta,mixed-lm,0.0055518532466607325,0.3166714074349003,8,4,mixed,0.04494249447197086
EEG-ch14,high_beta,mixed-lm,-0.00017371583333064788,0.9738888758247117,10,5,mixed,0.04494249447197086
EEG-ch15,high_beta,mixed-lm,0.005716537598093205,0.4844783136126132,10,5,mixed,0.04494249447197086
EEG-ch16,high_beta,mixed-lm,-0.0019411794093810429,0.8583097005084058,10,5,mixed,0.04494249447197086
EEG-ch17,high_beta,mixed-lm,0.003543095918496946,0.6041195137213926,9,5,mixed,0.04494249447197086
EEG-ch18,high_beta,mixed-lm,-0.0015732563187625974,0.6726011492441635,8,4,mixed,0.04494249447197086
EEG-ch19,high_beta,mixed-lm,-0.012244936917738754,0.0014044529522490893,8,4,mixed,0.04494249447197086
EEG-ch2,high_beta,mixed-lm,0.0068227473164890725,0.38077651383599054,10,5,mixed,0.5592946202370532
EEG-ch20,high_beta,mixed-lm,-0.0008365231422260248,0.8954767681882634,10,5,mixed,0.5592946202370532
EEG-ch21,high_beta,mixed-lm,0.0010076156287481192,0.9142500054600313,10,5,mixed,0.5592946202370532
EEG-ch22,high_beta,mixed-lm,-0.0061337585372811575,0.5549057452877649,10,5,mixed,0.5592946202370532
EEG-ch23,high_beta,mixed-lm,-0.0006557566025724437,0.9229569727223026,8,4,mixed,0.5592946202370532
EEG-ch24,high_beta,mixed-lm,-0.00021482927545916078,0.9832635730495034,10,5,mixed,0.5592946202370532
EEG-ch25,high_beta,mixed-lm,-0.002643906209481241,0.8237883943344237,10,5,mixed,0.5592946202370532
EEG-ch26,high_beta,mixed-lm,-0.0005794764517769897,0.9543813018461128,10,5,mixed,0.5592946202370532
EEG-ch27,high_beta,mixed-lm,0.0005969790378122578,0.9368197250095694,10,5,mixed,0.5592946202370532
EEG-ch28,high_beta,mixed-lm,0.00013934663758217135,0.9859390299616835,8,4,mixed,0.5592946202370532
EEG-ch29,high_beta,mixed-lm,0.004224658040522314,0.5194590070037375,10,5,mixed,0.5592946202370532
EEG-ch3,high_beta,mixed-lm,-0.0014817310927511553,0.7943223714555031,10,5,mixed,0.5592946202370532
EEG-ch30,high_beta,mixed-lm,-0.008328720952141797,0.48214665425535963,10,5,mixed,0.5592946202370532
EEG-ch31,high_beta,mixed-lm,-0.00769261205746793,0.41103471061414276,10,5,mixed,0.5592946202370532
EEG-ch32,high_beta,mixed-lm,-0.015049396414886437,0.03495591376481583,10,5,mixed,0.5592946202370532
EEG-ch4,high_beta,mixed-lm,0.0018685456070051867,0.8041013420854548,10,5,mixed,1.0
EEG-ch5,high_beta,mixed-lm,0.00730386165934543,0.36145117181368625,10,5,mixed,1.0
EEG-ch6,high_beta,mixed-lm,0.0003124021567903424,0.9412558894307896,10,5,mixed,1.0
EEG-ch7,high_beta,mixed-lm,0.00014308505814941767,0.9850663138595295,10,5,mixed,1.0
EEG-ch8,high_beta,mixed-lm,-0.00652436399004698,0.565168972056328,10,5,mixed,1.0
EEG-ch9,high_beta,mixed-lm,-0.005324663044482105,0.1770850949250674,10,5,mixed,1.0
EEG-ch1,low_beta,mixed-lm,-0.025676803617334255,0.049177356665011225,10,5,mixed,0.2512607781909146
EEG-ch10,low_beta,mixed-lm,-0.014202961109129872,0.01182665745834214,10,5,mixed,0.2512607781909146
EEG-ch11,low_beta,mixed-lm,-0.0189830842609378,0.11100370035180986,10,5,mixed,0.2512607781909146
EEG-ch12,low_beta,mixed-lm,-0.012548037987601202,0.23269176713704398,10,5,mixed,0.2512607781909146
EEG-ch13,low_beta,mixed-lm,0.0034936071064085384,0.6299232815580379,8,4,mixed,0.2512607781909146
EEG-ch14,low_beta,mixed-lm,-0.004031723039257315,0.7245115230370827,10,5,mixed,0.2512607781909146
EEG-ch15,low_beta,mixed-lm,-0.01341128297432874,0.15563757575891815,10,5,mixed,0.2512607781909146
EEG-ch16,low_beta,mixed-lm,-0.018367556525673033,0.13905158548537946,10,5,mixed,0.2512607781909146
