channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch8,delta,mixed-lm,0.011642300344149321,0.5677741827409382,10,5,mixed,0.700716187937749
EEG-ch9,delta,mixed-lm,0.02643755613534047,0.1970764278574919,10,5,mixed,0.700716187937749
EEG-ch1,gamma1,mixed-lm,0.011051474051533451,0.06971741280802699,10,5,mixed,0.13274453696289895
EEG-ch10,gamma1,mixed-lm,-0.0014644995153739937,0.599026173664567,10,5,mixed,0.13274453696289895
EEG-ch11,gamma1,mixed-lm,-0.0018242611858347955,0.5955454997780125,10,5,mixed,0.13274453696289895
EEG-ch12,gamma1,mixed-lm,0.00652936542964475,0.2037738633614684,10,5,mixed,0.13274453696289895
EEG-ch13,gamma1,mixed-lm,0.00645652957655072,0.5402928737152155,8,4,mixed,0.13274453696289895
EEG-ch14,gamma1,mixed-lm,0.008802277058217314,0.17009694164305988,10,5,mixed,0.13274453696289895
EEG-ch15,gamma1,mixed-lm,-0.0006278702002534982,0.8975707966894104,10,5,mixed,0.13274453696289895
EEG-ch16,gamma1,mixed-lm,0.007270521179175102,0.004148266780090592,10,5,mixed,0.13274453696289895
EEG-ch17,gamma1,mixed-lm,0.01426192371820084,0.029830394749659928,8,4,mixed,0.41674858318030256
EEG-ch18,gamma1,mixed-lm,0.007681746584517679,0.27610409077043196,8,4,mixed,0.41674858318030256
EEG-ch19,gamma1,mixed-lm,0.0012973788656911777,0.8336515271148575,8,4,mixed,0.41674858318030256
EEG-ch2,gamma1,mixed-lm,0.006806193012247516,0.257185880227603,10,5,mixed,0.41674858318030256
EEG-ch20,gamma1,mixed-lm,0.004219178731130575,0.6298525274240457,10,5,mixed,0.41674858318030256
EEG-ch21,gamma1,mixed-lm,0.0017773490487874844,0.7848706357567077,10,5,mixed,0.41674858318030256
EEG-ch22,gamma1,mixed-lm,0.0006208560114860429,0.9201888960584378,10,5,mixed,0.41674858318030256
EEG-ch23,gamma1,mixed-lm,0.003066008482372036,0.44781395318154804,8,4,mixed,0.41674858318030256
EEG-ch24,gamma1,mixed-lm,-0.0001963430974244455,0.9717842371056018,10,5,mixed,0.41674858318030256
EEG-ch25,gamma1,mixed-lm,0.003047803569715425,0.5066315881925189,10,5,mixed,0.41674858318030256
EEG-ch26,gamma1,mixed-lm,0.00298748181178031,0.6105795422546083,10,5,mixed,0.41674858318030256
EEG-ch27,gamma1,mixed-lm,0.006583816267252092,0.3695916292633019,10,5,mixed,0.41674858318030256
EEG-ch28,gamma1,mixed-lm,0.008569241438749618,0.08693882561614522,8,4,mixed,0.41674858318030256
EEG-ch29,gamma1,mixed-lm,0.008281945727047022,0.22137434988003513,10,5,mixed,0.41674858318030256
EEG-ch3,gamma1,mixed-lm,0.0045637046505961915,0.2518384080446596,10,5,mixed,0.41674858318030256
EEG-ch30,gamma1,mixed-lm,-0.0007988795009723243,0.9052551034775058,10,5,mixed,0.41674858318030256
EEG-ch31,gamma1,mixed-lm,0.008769295124666425,0.10418714579507564,10,5,mixed,0.41674858318030256
EEG-ch32,gamma1,mixed-lm,0.0025926416753579954,0.6554779364090242,10,5,mixed,0.4630878562187854
EEG-ch4,gamma1,mixed-lm,0.009432354177022853,0.1013004685478593,10,5,mixed,0.4630878562187854
EEG-ch5,gamma1,mixed-lm,0.009114191045962106,0.08820457267982287,10,5,mixed,0.470424387625722
EEG-ch6,gamma1,mixed-lm,0.014514233226667717,0.04867200008553844,10,5,mixed,0.51916800091241
EEG-ch7,gamma1,mixed-lm,0.0034997435609141264,0.5037650547911807,10,5,mixed,0.6320916400709884
EEG-ch8,gamma1,mixed-lm,0.005138080975716332,0.2962929562832758,10,5,mixed,0.6320916400709884
EEG-ch9,gamma1,mixed-lm,0.005410645687033762,0.40075700511667767,10,5,mixed,0.7543661272784521
EEG-ch1,high_beta,mixed-lm,0.0005495971276014272,0.8569505717532024,10,5,mixed,0.003057416489753686
EEG-ch10,high_beta,mixed-lm,-0.012372769836861686,0.015168423478616582,10,5,mixed,0.003057416489753686
EEG-ch11,high_beta,mixed-lm,0.0030174466632944086,0.7730251357050598,10,5,mixed,0.003057416489753686
EEG-ch12,high_beta,mixed-lm,-0.0010452161412316397,0.9069802253555366,10,5,mixed,0.003057416489753686
EEG-ch13,high_beta,mixed-lm,-0.00015201730644905966,0.986919738511395,8,4,mixed,0.003057416489753686
EEG-ch14,high_beta,mixed-lm,-0.003651070205346761,0.6327196645415687,10,5,mixed,0.003057416489753686
EEG-ch15,high_beta,mixed-lm,-0.0036838201499960178,0.6832081370178047,10,5,mixed,0.003057416489753686
EEG-ch16,high_beta,mixed-lm,-0.005556949533694071,0.6218904928562994,10,5,mixed,0.003057416489753686
EEG-ch17,high_beta,mixed-lm,-0.0005597002260178483,0.9192458033873068,8,4,mixed,0.003057416489753686
EEG-ch18,high_beta,mixed-lm,6.868911046651813e-05,0.992818516434447,8,4,mixed,0.003057416489753686
EEG-ch19,high_beta,mixed-lm,-0.013819676082872967,0.04602326509991725,8,4,mixed,0.003057416489753686
EEG-ch2,high_beta,mixed-lm,0.002531029454269161,0.683810247168322,10,5,mixed,0.003057416489753686
EEG-ch20,high_beta,mixed-lm,0.0035545676169697394,0.7009467225065317,10,5,mixed,0.003057416489753686
EEG-ch21,high_beta,mixed-lm,-0.007537927080041348,0.47976166788865204,10,5,mixed,0.003057416489753686
EEG-ch22,high_beta,mixed-lm,-0.00892275470181626,0.45652101359145714,10,5,mixed,0.003057416489753686
EEG-ch23,high_beta,mixed-lm,-0.004157334788226323,0.3955643414696467,8,4,mixed,0.003057416489753686
EEG-ch24,high_beta,mixed-lm,-0.006993315843615724,0.5440449628866693,10,5,mixed,0.003057416489753686
EEG-ch25,high_beta,mixed-lm,-0.00989663981629598,0.39239803664104245,10,5,mixed,0.003057416489753686
EEG-ch26,high_beta,mixed-lm,-0.006882475091950811,0.36965610622665357,10,5,mixed,0.003057416489753686
EEG-ch27,high_beta,mixed-lm,-0.005358275034252802,0.3445150415624175,10,5,mixed,0.003057416489753686
EEG-ch28,high_beta,mixed-lm,-0.008116319300576163,9.554426530480268e-05,8,4,mixed,0.003057416489753686
EEG-ch29,high_beta,mixed-lm,-0.0027247015432055486,0.4280260880422021,10,5,mixed,0.04704352249002054
EEG-ch3,high_beta,mixed-lm,-0.003573290659153719,0.44020894347551065,10,5,mixed,0.04704352249002054
EEG-ch30,high_beta,mixed-lm,-0.010012811267812099,0.4233349289361066,10,5,mixed,0.04704352249002054
EEG-ch31,high_beta,mixed-lm,-0.01604042144530123,0.18485458196974847,10,5,mixed,0.04704352249002054
EEG-ch32,high_beta,mixed-lm,-0.020115196093102358,0.002940220155626284,10,5,mixed,0.04704352249002054
EEG-ch4,high_beta,mixed-lm,0.004768404388753407,0.36321098801472795,10,5,mixed,0.24084628451833964
EEG-ch5,high_beta,mixed-lm,0.007370553719158688,0.2257330283779626,10,5,mixed,0.24084628451833964
EEG-ch6,high_beta,mixed-lm,-0.010288965805454693,0.030105785564792455,10,5,mixed,0.24084628451833964
EEG-ch7,high_beta,mixed-lm,-0.005920838988740583,0.5230563527055274,10,5,mixed,0.8448639821908059
EEG-ch8,high_beta,mixed-lm,-0.006777794202037807,0.5280399888692537,10,5,mixed,0.8448639821908059
EEG-ch9,high_beta,mixed-lm,-0.005691150355118555,0.3786199365627194,10,5,mixed,1.0
EEG-ch1,low_beta,mixed-lm,-0.02016397864594677,0.07371896962652119,10,5,mixed,0.2861769635222493
EEG-ch10,low_beta,mixed-lm,0.0008905123315394373,0.9272065435792572,10,5,mixed,0.2861769635222493
EEG-ch11,low_beta,mixed-lm,-0.01918687672564164,0.02728838218869108,10,5,mixed,0.2861769635222493
EEG-ch12,low_beta,mixed-lm,-0.0017606815465092602,0.8265005500181627,10,5,mixed,0.2861769635222493
EEG-ch13,low_beta,mixed-lm,0.0013625966193598804,0.7194842471039078,8,4,mixed,0.2861769635222493
EEG-ch14,low_beta,mixed-lm,-0.004034474719746729,0.7150551996411987,10,5,mixed,0.2861769635222493
EEG-ch15,low_beta,mixed-lm,-0.023196840490360204,0.020157620768249777,10,5,mixed,0.2861769635222493
EEG-ch16,low_beta,mixed-lm,-0.0076371560858106025,0.540902815121532,10,5,mixed,0.2861769635222493
EEG-ch17,low_beta,mixed-lm,-0.007855918789519696,0.4052123488591671,8,4,mixed,0.2861769635222493
EEG-ch18,low_beta,mixed-lm,-0.0019134004927654786,0.800057286659141,8,4,mixed,0.2861769635222493
