subject_id,condition,envelope,xcorr_peak_r,coh_band_avg,plv,wpli,mi
5,AUD,env_beta_high,0.09161862526656327,0.11257177085359493,0.26643952189752557,0.019065889485357455,0.02493799611716696
5,AUD,env_gamma1,0.08220322557207985,0.1067314017580818,0.6892368888071722,0.12657365311451477,0.015226573716438097
5,MULTI,env_broad,0.12021596105944642,0.08208241343742426,0.11881104026983892,0.06460402826891186,0.06572022714694725
5,MULTI,env_swell_0p2,0.10642191257625576,0.1049708410652587,0.09828019717642031,0.136416686779926,0.821608676818057
5,MULTI,env_swell_0p1,0.06843173405422823,0.040026187770468194,0.051511900548864176,0.05484029560994993,1.179364734697983
5,MULTI,env_hrv_lf,0.13255190155160743,0.1154846938610674,0.1478958929578333,0.2207922200969948,0.7226799359592464
5,MULTI,env_hrv_hf,0.1152624718352161,0.12217390987731067,0.37717393268927574,0.42482386378350945,0.48487340128840106
5,MULTI,env_splash_1_5,0.09300239985474762,0.11570023413684596,0.23219322623035274,0.21801808508831616,0.13052993499546872
5,MULTI,env_delta,0.08788481069887089,0.11572273281531453,0.1798895020138711,0.09807090612182363,0.19731374480903963
5,MULTI,env_theta,0.08951346920566186,0.11207821396633591,0.11851325706379615,0.12217724078108257,0.06035005665289539
5,MULTI,env_alpha,0.08246842286843557,0.10034311152828632,0.14621218714357578,0.15996340668794945,0.03527618631504037
5,MULTI,env_beta_low,0.0873310452959408,0.09910751405454145,0.20092139966540654,0.14130106377409818,0.036087967192997006
5,MULTI,env_beta_high,0.07376833791105682,0.10806229613360104,0.06540612647513856,0.05841427201036606,0.023457163455224084
5,MULTI,env_gamma1,0.07954988644777028,0.09957024019036546,0.06938279134135342,0.08410925291649653,0.019286633877912962
6,VIZ,env_broad,0.13965483995093106,0.10769015833592696,0.14767569678026077,0.21672562545429275,0.0779332112616915
6,VIZ,env_swell_0p2,0.1512817188615649,0.13722461628262808,0.1434151241978855,0.20046192586803693,1.1203853401966768
6,VIZ,env_swell_0p1,0.12672089658161198,0.08358852662386652,0.1513230110510031,0.23209018842983664,1.0540793003486506
6,VIZ,env_hrv_lf,0.14572930541581436,0.14102404210060887,0.08401588578298465,0.13009738517460206,0.8245722956344581
6,VIZ,env_hrv_hf,0.1198104377165099,0.08804731063441654,0.1447638740576271,0.02311308915405044,0.6321589918442676
6,VIZ,env_splash_1_5,0.11708035773311606,0.10184908809165467,0.1397470552394902,0.20339473777917555,0.1580844409420834
6,VIZ,env_delta,0.12580992900486962,0.11868238867128045,0.05340004415067885,0.0838350048838961,0.2455969778154028
